word,tag,wn_label,mw_label,comb_label
minimum,NN,neutral,neutral,neutral
threshold,NN,neutral,neutral,neutral
percent,NN,neutral,neutral,neutral
provinces,NNS,neutral,neutral,neutral
districts,NNS,neutral,neutral,neutral
regulation,NN,neutral,neutral,neutral
modification,NN,neutral,neutral,neutral
limits,NNS,neutral,neutral,neutral
law,NN,neutral,neutral,neutral
majority,NN,neutral,neutral,neutral
voting,NN,neutral,neutral,neutral
basis,NN,neutral,neutral,neutral
suffrage,NN,neutral,neutral,neutral
nationals,NNS,neutral,neutral,neutral
enjoyment,NN,neutral,neutral,neutral
rights,NNS,neutral,neutral,neutral
exception,NN,neutral,neutral,neutral
amendments,NNS,neutral,neutral,neutral
seats,NNS,neutral,neutral,neutral
ballots,NNS,neutral,neutral,neutral
proportion,NN,neutral,neutral,neutral
populations,NNS,neutral,neutral,neutral
plurality,NN,neutral,neutral,neutral
use,NN,neutral,neutral,neutral
district,NN,neutral,neutral,neutral
magnitude,NN,neutral,neutral,neutral
parties,NNS,neutral,neutral,neutral
federations,NNS,neutral,neutral,neutral
coalitions,NNS,neutral,neutral,neutral
groupings,NNS,neutral,neutral,neutral
electors,NNS,neutral,neutral,neutral
lists,NNS,neutral,neutral,neutral
coalition,NN,neutral,neutral,neutral
days,NNS,neutral,neutral,neutral
call,NN,neutral,neutral,neutral
signature,NN,neutral,neutral,neutral
electorate,NN,neutral,neutral,neutral
signatures,NNS,neutral,neutral,neutral
mandate,NN,neutral,neutral,neutral
locality,NN,neutral,neutral,neutral
settlement,NN,neutral,neutral,neutral
center,NN,neutral,neutral,neutral
population,NN,neutral,neutral,neutral
streets,NNS,neutral,neutral,neutral
km,NN,neutral,neutral,neutral
centre,NN,neutral,neutral,neutral
road,NN,neutral,neutral,neutral
book,NN,neutral,neutral,neutral
reviews,NNS,neutral,neutral,neutral
journals,NNS,neutral,neutral,neutral
field,NN,neutral,neutral,neutral
resort,NN,neutral,neutral,neutral
village,NN,neutral,neutral,neutral
shores,NNS,neutral,neutral,neutral
dwellings,NNS,neutral,neutral,neutral
change,NN,neutral,neutral,neutral
land,NN,neutral,neutral,neutral
density,NN,neutral,neutral,neutral
administrator,NN,neutral,neutral,neutral
month,NN,neutral,neutral,neutral
communities,NNS,neutral,neutral,neutral
municipalities,NNS,neutral,neutral,neutral
villages,NNS,neutral,neutral,neutral
website,NN,neutral,neutral,neutral
body,NN,neutral,neutral,neutral
studio,NN,neutral,neutral,neutral
album,NN,neutral,neutral,neutral
soul,NN,neutral,neutral,neutral
singer,NN,neutral,neutral,neutral
songwriter,NN,neutral,neutral,neutral
platinum,NN,neutral,neutral,neutral
charts,NNS,neutral,neutral,neutral
position,NN,neutral,neutral,neutral
week,NN,neutral,neutral,neutral
vocals,NNS,neutral,neutral,neutral
backing,NN,neutral,neutral,neutral
arrangements,NNS,neutral,neutral,neutral
keyboards,NNS,neutral,neutral,neutral
string,NN,neutral,neutral,neutral
horn,NN,neutral,neutral,neutral
rhythm,NN,neutral,neutral,neutral
synthesizer,NN,neutral,neutral,neutral
synthesizers,NNS,neutral,neutral,neutral
bass,NN,masc,neutral,neutral
guitar,NN,neutral,neutral,neutral
percussion,NN,neutral,neutral,neutral
congas,NNS,neutral,neutral,neutral
bongos,NNS,neutral,neutral,neutral
contractor,NN,neutral,neutral,neutral
love,NN,neutral,neutral,neutral
producer,NN,neutral,neutral,neutral
engineer,NN,neutral,neutral,neutral
assistant,NN,neutral,neutral,neutral
mix,NN,neutral,neutral,neutral
art,NN,neutral,neutral,neutral
direction,NN,neutral,neutral,neutral
design,NN,neutral,neutral,neutral
front,NN,neutral,neutral,neutral
photography,NN,neutral,neutral,neutral
manager,NN,neutral,neutral,neutral
management,NN,neutral,neutral,neutral
sponsorship,NN,neutral,neutral,neutral
reasons,NNS,neutral,neutral,neutral
tier,NN,neutral,neutral,neutral
league,NN,neutral,neutral,neutral
promotion,NN,neutral,neutral,neutral
relegation,NN,neutral,neutral,neutral
member,NN,masc,neutral,neutral
clubs,NNS,neutral,neutral,neutral
others,NNS,not_found,neutral,neutral
line,NN,neutral,neutral,neutral
introduction,NN,neutral,neutral,neutral
effect,NN,neutral,neutral,neutral
beginning,NN,neutral,neutral,neutral
season,NN,neutral,neutral,neutral
course,NN,neutral,neutral,neutral
club,NN,neutral,neutral,neutral
round,NN,neutral,neutral,neutral
robin,NN,neutral,neutral,neutral
stadium,NN,neutral,neutral,neutral
opponents,NNS,neutral,neutral,neutral
total,NN,neutral,neutral,neutral
games,NNS,neutral,neutral,neutral
teams,NNS,neutral,neutral,neutral
points,NNS,neutral,neutral,neutral
win,NN,neutral,neutral,neutral
point,NN,neutral,neutral,neutral
draw,NN,neutral,neutral,neutral
loss,NN,neutral,neutral,neutral
difference,NN,neutral,neutral,neutral
goals,NNS,neutral,neutral,neutral
goal,NN,neutral,neutral,neutral
winner,NN,neutral,neutral,neutral
ordering,NN,neutral,neutral,neutral
head,NN,neutral,neutral,neutral
records,NNS,neutral,neutral,neutral
tie,NN,neutral,neutral,neutral
championship,NN,neutral,neutral,neutral
qualification,NN,neutral,neutral,neutral
competitions,NNS,neutral,neutral,neutral
match,NN,neutral,neutral,neutral
venue,NN,neutral,neutral,neutral
rank,NN,neutral,neutral,neutral
team,NN,neutral,neutral,neutral
playoff,NN,neutral,neutral,neutral
zones,NNS,neutral,neutral,neutral
place,NN,neutral,neutral,neutral
apostolate,NN,not_found,neutral,neutral
sanctification,NN,neutral,neutral,neutral
formation,NN,neutral,neutral,neutral
people,NNS,neutral,neutral,neutral
site,NN,neutral,neutral,neutral
donation,NN,neutral,neutral,neutral
community,NN,neutral,neutral,neutral
sisters,NNS,fem,fem,fem
care,NN,neutral,neutral,neutral
students,NNS,neutral,neutral,neutral
arrival,NN,neutral,neutral,neutral
present,NN,neutral,neutral,neutral
branch,NN,neutral,neutral,neutral
group,NN,neutral,neutral,neutral
orphanage,NN,neutral,neutral,neutral
deped,NN,not_found,not_found,not_found
permit,NN,neutral,neutral,neutral
opening,NN,neutral,neutral,neutral
commencement,NN,neutral,neutral,neutral
graduates,NNS,neutral,neutral,neutral
completion,NN,neutral,neutral,neutral
building,NN,neutral,neutral,neutral
canteen,NN,neutral,neutral,neutral
library,NN,neutral,neutral,neutral
science,NN,neutral,neutral,neutral
laboratory,NN,neutral,neutral,neutral
computer,NN,neutral,neutral,neutral
classrooms,NNS,neutral,neutral,neutral
offices,NNS,neutral,neutral,neutral
implementation,NN,neutral,neutral,neutral
education,NN,neutral,neutral,neutral
class,NN,neutral,neutral,neutral
program,NN,neutral,neutral,neutral
improvement,NN,neutral,neutral,neutral
upgrading,NN,not_found,neutral,neutral
graduation,NN,neutral,neutral,neutral
batch,NN,neutral,neutral,neutral
start,NN,neutral,neutral,neutral
construction,NN,neutral,neutral,neutral
renovation,NN,neutral,neutral,neutral
basketball,NN,neutral,neutral,neutral
court,NN,fem,neutral,neutral
board,NN,neutral,neutral,neutral
classes,NNS,neutral,neutral,neutral
department,NN,neutral,neutral,neutral
units,NNS,neutral,neutral,neutral
computers,NNS,neutral,neutral,neutral
principal,NN,neutral,neutral,neutral
dozen,NN,neutral,neutral,neutral
brand,NN,neutral,neutral,neutral
ones,NNS,neutral,neutral,neutral
celebration,NN,neutral,neutral,neutral
set,NN,neutral,neutral,neutral
officers,NNS,neutral,neutral,neutral
paper,NN,neutral,neutral,neutral
painter,NN,neutral,neutral,neutral
brother,NN,masc,masc,masc
child,NN,neutral,neutral,neutral
talents,NNS,neutral,neutral,neutral
music,NN,neutral,neutral,neutral
studies,NNS,neutral,neutral,neutral
alcoholism,NN,neutral,neutral,neutral
periods,NNS,neutral,neutral,neutral
artist,NN,neutral,neutral,neutral
stories,NNS,neutral,neutral,neutral
writing,NN,neutral,neutral,neutral
avail,NN,neutral,neutral,neutral
country,NN,neutral,neutral,neutral
estate,NN,neutral,neutral,neutral
tuberculosis,NN,neutral,neutral,neutral
death,NN,neutral,neutral,neutral
story,NN,neutral,neutral,neutral
man,NN,masc,masc,masc
cases,NNS,neutral,neutral,neutral
volume,NN,neutral,neutral,neutral
jurist,NN,neutral,neutral,neutral
