no_defs,no_words,seed_pairs,accuracy_merriam,accuracy_wordnet,accuracy_dictcom,accuracy_comb
3,10,4,0.7,0.78,0.8,0.79
3,10,5,0.77,0.84,0.85,0.84
3,10,6,0.78,0.82,0.84,0.83
3,10,7,0.78,0.82,0.84,0.83
3,10,8,0.78,0.82,0.84,0.83
3,15,2,0.61,0.71,0.72,0.71
3,15,3,0.67,0.76,0.77,0.77
3,15,4,0.7,0.77,0.8,0.8
3,15,5,0.77,0.83,0.85,0.84
3,15,6,0.78,0.83,0.84,0.84
3,15,7,0.78,0.83,0.84,0.84
3,15,8,0.78,0.83,0.84,0.84
3,20,2,0.61,0.71,0.72,0.71
3,20,3,0.67,0.76,0.78,0.77
3,20,4,0.7,0.77,0.81,0.8
3,20,5,0.77,0.83,0.86,0.86
3,20,6,0.78,0.83,0.85,0.85
3,20,7,0.78,0.83,0.85,0.85
3,20,8,0.78,0.83,0.85,0.85
3,25,2,0.61,0.71,0.72,0.71
3,25,3,0.67,0.76,0.78,0.77
3,25,4,0.7,0.77,0.81,0.8
3,25,5,0.77,0.83,0.86,0.86
3,25,6,0.78,0.83,0.85,0.85
3,25,7,0.78,0.83,0.85,0.85
3,25,8,0.78,0.83,0.85,0.85
3,30,2,0.61,0.71,0.72,0.71
3,30,3,0.67,0.76,0.77,0.77
3,30,4,0.7,0.77,0.8,0.8
3,30,5,0.77,0.83,0.85,0.86
3,30,6,0.78,0.83,0.84,0.85
3,30,7,0.78,0.83,0.84,0.85
3,30,8,0.78,0.83,0.84,0.85
3,35,2,0.61,0.71,0.72,0.71
3,35,3,0.67,0.76,0.77,0.77
3,35,4,0.7,0.77,0.8,0.8
3,35,5,0.77,0.83,0.85,0.86
3,35,6,0.78,0.83,0.84,0.85
3,35,7,0.78,0.83,0.84,0.85
3,35,8,0.78,0.83,0.84,0.85
4,5,2,0.61,0.69,0.68,0.67
4,5,3,0.66,0.75,0.75,0.74
4,5,4,0.69,0.72,0.76,0.76
4,5,5,0.76,0.77,0.81,0.81
4,5,6,0.78,0.77,0.81,0.81
